Index,,Location,Jan1,Feb1,Mar1,Apr1,May 1,Jun1
1,,World,"1,916,081","2,344,913","2,650,107","2,934,629","3,303,598","3,679,813"
2,,United States,"356,783","455,613","521,837","553,934","574,601","591,392"
3,,Brazil,"193,875","223,945","254,221","317,646","401,186","461,931"
4,,India,"148,994","154,392","157,157","162,927","211,853","331,895"
5,,Mexico,"148,569","186,994","210,666","223,694","231,183","235,075"
6,,Peru,"93,192","103,396","121,940","142,864","166,382","183,879"
7,,United Kingdom,"73,512","106,158","122,849","126,713","127,517","127,782"
8,,Italy,"74,159","88,516","97,699","109,346","120,807","126,128"
9,,Russia,"57,555","73,619","86,455","99,233","110,520","121,873"
10,,France,"64,254","75,661","85,960","95,035","103,801","108,684"
11,,Germany,"33,624","57,120","70,105","76,543","83,082","88,595"
12,,Colombia,"42,909","53,650","59,660","63,255","73,230","88,282"
13,,Spain,"54,187","65,484","74,481","77,513","79,749","81,140"
14,,Iran,"55,223","57,959","60,073","62,665","71,758","80,156"
15,,Argentina,"43,163","47,931","51,965","55,736","63,508","77,456"
16,,Poland,"29,034","37,292","43,855","53,672","67,922","73,870"
17,,South Africa,"28,469","44,164","49,993","52,846","54,350","56,506"
18,,Indonesia,"22,329","30,277","36,325","41,054","45,652","50,723"
19,,Ukraine,"18,680","22,768","26,050","33,246","44,436","50,699"
20,,Turkey,"20,881","25,993","28,569","31,537","40,131","47,527"
21,,Czech Republic,"12,016","16,870","21,033","27,121","29,696","30,359"
22,,Romania,"15,767","18,335","20,350","23,538","28,109","30,312"
23,,Hungary,"9,667","12,578","15,058","20,995","27,701","29,762"
24,,Chile,"16,608","18,452","20,572","23,135","26,353","29,300"
25,,Canada,"15,472","19,942","21,960","22,926","24,169","25,512"
26,,Belgium,"19,720","21,283","22,254","23,067","24,271","24,980"
27,,Philippines,"9,244","10,749","12,318","13,297","17,234","20,966"
28,,Pakistan,"10,105","11,657","12,860","14,434","17,811","20,779"
29,,Ecuador,"14,034","14,859","15,811","16,847","18,631","20,572"
30,,Bulgaria,"7,576","9,045","10,191","13,197","16,399","17,700"
31,,Netherlands,"11,405","13,981","15,556","16,533","17,145","17,623"
32,,Portugal,"6,906","12,482","16,317","16,848","16,974","17,025"
33,,Iraq,"12,813","13,047","13,406","14,323","15,465","16,375"
34,,Egypt,"7,631","9,316","10,688","11,995","13,339","15,096"
35,,Sweden,"9,739","12,223","13,029","13,614","14,195","14,570"
36,,Bolivia,"9,149","10,330","11,628","12,239","12,951","14,471"
37,,Japan,"3,460","5,722","7,887","9,162","10,229","13,048"
38,,Bangladesh,"7,576","8,137","8,416","9,105","11,510","12,660"
39,,Tunisia,"4,676","6,754","8,001","8,812","10,722","12,654"
40,,Slovakia,"2,250","4,711","7,270","9,790","11,732","12,353"
41,,Greece,"4,838","5,872","6,580","8,169","10,457","12,171"
42,,Austria,"6,355","7,817","8,530","9,259","10,072","10,425"
43,,Switzerland,"7,598","9,179","9,621","9,912","10,163","10,308"
44,,Jordan,"3,834","4,316","4,701","6,858","8,836","9,462"
45,,Bosnia and Herzegovina,"4,072","4,705","5,096","6,581","8,533","9,235"
46,,Morocco,"7,388","8,275","8,623","8,818","9,023","9,147"
47,,Paraguay,"2,242","2,704","3,167","4,161","6,302","9,083"
48,,Guatemala,"4,813","5,643","6,393","6,840","7,524","8,165"
49,,Croatia,"3,920","5,027","5,526","5,947","7,081","8,026"
50,,Lebanon,"1,455","3,082","4,692","6,234","7,278","7,729"
51,,Nepal,"2,767","2,962","3,010","3,031","3,298","7,454"
52,,Saudi Arabia,"6,223","6,375","6,494","6,669","6,957","7,362"
53,,Kazakhstan,"2,749","3,126","3,389","5,912","6,561","7,321"
54,,Serbia,"3,211","4,020","4,443","5,308","6,362","6,865"
55,,Israel,"3,373","4,816","5,763","6,219","6,389","6,422"
56,,Panama,"3,975","5,244","5,831","6,109","6,227","6,370"
57,,Honduras,"3,130","3,592","4,141","4,599","5,261","6,316"
58,,Moldova,"2,985","3,438","3,949","4,960","5,812","6,107"
59,,North Macedonia,"2,503","2,855","3,137","3,781","4,855","5,413"
60,,China,"4,789","4,825","4,844","4,851","4,857","4,970"
61,,Ireland,"2,159","3,241","4,286","4,662","4,892","4,941"
62,,Azerbaijan,"2,609","3,126","3,218","3,567","4,517","4,913"
63,,Georgia,"2,528","3,194","3,520","3,785","4,130","4,804"
64,,Slovenia,"2,982","3,834","4,159","4,378","4,590","4,705"
65,,Armenia,"2,828","3,084","3,195","3,533","4,128","4,445"
66,,Lithuania,"1,845","2,849","3,270","3,590","3,947","4,289"
67,,Uruguay,174,431,603,953,"2,563","4,213"
68,,Ethiopia,"1,923","2,093","2,365","2,865","3,688","4,165"
69,,Costa Rica,"2,171","2,612","2,803","2,957","3,217","4,022"
70,,Palestine,"1,529","2,012","2,259","2,881","3,517","3,765"
71,,Dominican Republic,"2,414","2,666","3,100","3,325","3,480","3,628"
72,,Algeria,"2,756","2,891","2,983","3,093","3,253","3,472"
73,,Myanmar,"2,697","3,138","3,199","3,206","3,209","3,217"
74,,Kenya,"1,670","1,763","1,856","2,153","2,724","3,172"
75,,Libya,"1,478","1,877","2,179","2,667","3,029","3,126"
76,,Afghanistan,"2,201","2,404","2,444","2,489","2,631","2,973"
77,,Belarus,"1,424","1,718","1,976","2,247","2,542","2,851"
78,,Malaysia,471,760,"1,130","1,272","1,506","2,796"
79,,Sudan,"1,576","1,812","1,890","2,087","2,361","2,631"
80,,Venezuela,"1,025","1,183","1,338","1,589","2,117","2,629"
81,,Denmark,"1,298","2,125","2,361","2,419","2,485","2,516"
82,,Puerto Rico,"1,503","1,829","2,036","2,113","2,303","2,502"
83,,Albania,"1,181","1,380","1,796","2,235","2,394","2,451"
84,,Latvia,635,"1,195","1,618","1,899","2,131","2,376"
85,,Oman,"1,499","1,529","1,570","1,678","2,010","2,345"
86,,El Salvador,"1,336","1,623","1,854","2,010","2,124","2,249"
87,,Kosovo,"1,325","1,488","1,589","1,862","2,163","2,233"
88,,Nigeria,"1,289","1,586","1,907","2,057","2,063","2,099"
89,,South Korea,917,"1,425","1,605","1,735","1,831","1,963"
90,,Kyrgyzstan,"1,356","1,412","1,466","1,500","1,612","1,815"
91,,Kuwait,934,959,"1,083","1,313","1,563","1,772"
92,,Syria,711,921,"1,027","1,265","1,592","1,770"
93,,United Arab Emirates,669,850,"1,221","1,497","1,587","1,680"
94,,Zimbabwe,363,"1,217","1,463","1,523","1,567","1,596"
95,,Montenegro,681,802,999,"1,266","1,492","1,583"
96,,Sri Lanka,204,323,476,571,687,"1,527"
97,,Yemen,611,616,635,889,"1,227","1,321"
98,,Zambia,388,763,"1,091","1,208","1,251","1,281"
99,,Cameroon,448,462,551,779,"1,064","1,275"
100,,Estonia,234,422,598,908,"1,166","1,258"
101,,Malawi,189,702,"1,040","1,117","1,148","1,155"
102,,Senegal,410,628,872,"1,051","1,107","1,139"
103,,Thailand,63,77,83,94,224,"1,069"
104,,Bahrain,352,375,449,521,646,980
105,,Finland,597,702,784,881,932,970
106,,Cuba,146,214,322,424,644,958
107,,Jamaica,302,350,422,596,778,948
108,,Australia,909,909,909,909,910,910
109,,Botswana,40,134,310,568,712,849
110,,Madagascar,261,281,297,409,643,839
111,,Mozambique,166,367,641,775,814,836
112,,Namibia,205,352,424,523,643,830
113,,Luxembourg,495,579,637,743,794,814
114,,Ghana,335,416,607,743,779,785
115,,Norway,433,563,622,660,753,783
116,,DR Congo,591,671,707,743,766,782
117,,Somalia,130,130,239,529,713,769
118,,Angola,405,466,508,537,596,766
119,,Uzbekistan,614,621,622,630,650,690
120,,Eswatini,206,565,652,667,671,673
121,,Qatar,245,248,258,291,458,556
122,,Mali,269,330,353,385,484,517
123,,Trinidad and Tobago,126,134,139,142,165,479
124,,Mauritania,324,418,439,449,455,463
125,,Malta,225,270,315,394,415,419
126,,Guyana,164,176,195,231,295,385
127,,Cyprus,128,202,235,260,316,365
128,,Uganda,304,324,334,334,343,362
129,,Rwanda,92,196,261,307,335,353
130,,Lesotho,50,160,292,315,316,326
131,,Belize,242,301,314,317,323,324
132,,Haiti,236,245,250,251,254,321
133,,Ivory Coast,137,154,192,244,286,305
134,,Suriname,121,154,170,177,201,292
135,,Mongolia,0,2,2,8,110,276
136,,Cape Verde,113,134,147,168,217,264
137,,Guadeloupe,155,157,164,173,211,255
138,,Bahamas,170,176,180,188,199,230
139,,Cambodia,0,0,0,14,96,220
140,,Niger,102,159,172,187,191,192
141,,Réunion,42,46,52,115,148,189
142,,Nicaragua,165,169,173,178,182,186
143,,Gambia,124,128,150,164,174,179
144,,Mayotte,55,61,110,161,170,173
145,,Chad,104,118,140,164,170,173
146,,Maldives,48,52,62,67,73,169
147,,Burkina Faso,85,120,142,146,157,166
148,,Papua New Guinea,9,9,13,60,115,162
149,,Guinea,81,82,89,125,144,161
150,,Djibouti,61,63,63,70,143,154
151,,Congo,100,117,128,135,144,153
152,,Gabon,64,68,83,118,139,152
153,,Comoros,9,93,144,146,146,146
154,,French Polynesia,114,131,139,141,141,142
155,,Guam,122,129,131,134,136,139
156,,Andorra,84,101,110,115,125,127
157,,Togo,68,77,84,109,123,125
158,,Curaçao,14,20,22,33,108,122
159,,Equatorial Guinea,86,86,91,102,112,118
160,,French Guiana,71,76,85,93,100,116
161,,South Sudan,63,64,93,112,115,115
162,,Aruba,49,58,71,85,98,107
163,,Benin,44,52,70,93,99,101
164,,Central African Republic,63,63,63,72,88,98
165,,Martinique,43,44,45,50,70,95
166,,Gibraltar,6,75,93,94,94,94
167,,Tajikistan,90,91,91,91,91,91
168,,San Marino,59,67,74,84,90,90
169,,Liberia,83,84,85,85,85,86
170,,Saint Lucia,5,13,35,60,74,79
171,,Sierra Leone,76,79,79,79,79,79
172,,Jersey,42,66,69,69,69,69
173,,Guinea-Bissau,45,45,48,63,67,68
174,,Liechtenstein,44,53,55,56,56,57
175,,Vietnam,35,35,35,35,35,47
176,,Barbados,7,12,33,42,44,47
177,,Antigua and Barbuda,5,7,14,28,32,42
178,,Seychelles,0,4,11,21,27,40
179,,Isle of Man,35,35,35,39,39,39
180,,São Tomé and Príncipe,17,17,29,34,35,37
181,,Singapore,29,29,29,30,30,33
182,,Bermuda,10,12,12,12,27,32
183,,Monaco,3,13,24,28,32,32
184,,Iceland,29,29,29,29,29,30
185,,Sint Maarten,27,27,27,27,27,28
186,,U.S. Virgin Islands,23,24,25,26,27,27
187,,New Zealand,25,25,26,26,26,26
188,,Tanzania,21,21,21,21,21,21
189,,Mauritius,10,10,10,12,16,18
190,,Turks and Caicos Islands,6,9,14,17,17,17
191,,Guernsey,16,16,17,17,17,17
192,,Bonaire,3,3,4,10,16,17
193,,Timor-Leste,0,0,0,0,3,16
194,,Saint Martin,12,12,12,12,13,15
195,,Eritrea,3,7,7,10,10,14
196,,Other,13,13,13,13,13,13
197,,Saint Vincent and the Grenadines,0,2,8,10,11,12
198,,Wallis and Futuna,0,0,0,4,7,7
199,,Burundi,2,2,3,6,6,6
200,,Fiji,2,2,2,2,2,4
201,,Laos,0,0,0,0,0,3
202,,Brunei,3,3,3,3,3,3
203,,Cayman Islands,2,2,2,2,2,2
204,,Northern Mariana Islands,2,2,2,2,2,2
205,,Grenada,1,1,1,1,1,1
206,,British Virgin Islands,1,1,1,1,1,1
207,,Faroe Islands,0,1,1,1,1,1
208,,Saint Barthélemy,0,0,0,1,1,1
209,,Bhutan,0,1,1,1,1,1
210,,Montserrat,1,1,1,1,1,1
211,,New Caledonia,0,0,0,0,0,0
212,,Dominica,0,0,0,0,0,0
213,,Saint Kitts and Nevis,0,0,0,0,0,0
214,,Anguilla,0,0,0,0,0,0
215,,American Samoa,0,0,0,0,0,0
216,,Cook Islands,0,0,0,0,0,0
217,,North Korea,0,0,0,0,0,0
218,,Falkland Islands,0,0,0,0,0,0
219,,Greenland,0,0,0,0,0,0
220,,Holy See,0,0,0,0,0,0
221,,Kiribati,0,0,0,0,0,0
222,,Marshall Islands,0,0,0,0,0,0
223,,Micronesia,0,0,0,0,0,0
224,,Nauru,0,0,0,0,0,0
225,,Niue,0,0,0,0,0,0
226,,Palau,0,0,0,0,0,0
227,,Pitcairn Islands,0,0,0,0,0,0
228,,Saba,0,0,0,0,0,0
229,,Saint Helena,0,0,0,0,0,0
230,,Saint Pierre and Miquelon,0,0,0,0,0,0
231,,Samoa,0,0,0,0,0,0
232,,Sint Eustatius,0,0,0,0,0,0
233,,Solomon Islands,0,0,0,0,0,0
234,,Tokelau,0,0,0,0,0,0
235,,Tonga,0,0,0,0,0,0
236,,Turkmenistan,0,0,0,0,0,0
237,,Tuvalu,0,0,0,0,0,0
238,,Vanuatu,0,0,0,0,0,0
